symbol,side,entry_time,entry_bar,entry_price,quantity,notional,stop,target,regime,confidence,exit_time,exit_price,reason,fee,pnl,balance_before,balance_after,return_pct
BTC/USDT,short,2026-06-18 17:15:00+00:00,340,62580.0,0.00639182,400.0,63043.214851,61807.975248,trend_down,0.911,2026-06-18 20:00:00+00:00,63043.214851,STOP,0.4818,-3.4426,10000.0,9996.5574,-0.0344
BTC/USDT,short,2026-06-19 07:30:00+00:00,397,62546.76,0.00639301,399.8623,62809.835852,62108.300247,trend_down,0.745,2026-06-19 11:30:00+00:00,62660.15,TIMEOUT,0.4803,-1.2052,9996.5574,9995.3523,-0.0121
BTC/USDT,long,2026-06-20 07:00:00+00:00,491,63663.25,0.00628014,399.8141,63485.904231,63958.826282,trend_up,0.896,2026-06-20 08:00:00+00:00,63485.904231,STOP,0.4791,-1.5929,9995.3523,9993.7594,-0.0159
BTC/USDT,long,2026-06-20 23:45:00+00:00,558,64296.6,0.00621729,399.7504,64134.083524,64567.460794,trend_up,0.82,2026-06-21 03:45:00+00:00,64421.15,TIMEOUT,0.4802,0.2942,9993.7594,9994.0536,0.0029
BTC/USDT,long,2026-06-21 06:15:00+00:00,584,64285.01,0.00621859,399.7621,64147.863247,64513.587922,trend_up,0.793,2026-06-21 08:00:00+00:00,64147.863247,STOP,0.4792,-1.3321,9994.0536,9992.7215,-0.0133
BTC/USDT,short,2026-06-23 13:30:00+00:00,805,62401.57,0.00640543,399.7089,62732.963862,61849.246896,trend_down,0.95,2026-06-23 14:00:00+00:00,62732.963862,STOP,0.4809,-2.6036,9992.7215,9990.1179,-0.0261
ETH/USDT,short,2026-06-19 09:45:00+00:00,406,1689.29,0.23678587,400.0,1697.870526,1674.989123,trend_down,0.795,2026-06-19 13:00:00+00:00,1697.870526,STOP,0.4812,-2.513,10000.0,9997.487,-0.0251
ETH/USDT,short,2026-06-23 13:15:00+00:00,804,1649.07,0.2425,399.8995,1658.48154,1633.3841,trend_down,0.95,2026-06-23 13:30:00+00:00,1658.48154,STOP,0.4812,-2.7635,9997.487,9994.7235,-0.0276
ETH/USDT,short,2026-06-24 18:15:00+00:00,920,1578.52,0.25326821,399.7889,1599.807581,1543.040698,trend_down,0.869,2026-06-24 20:00:00+00:00,1599.807581,STOP,0.483,-5.8744,9994.7235,9988.849,-0.0588
SOL/USDT,short,2026-06-19 07:30:00+00:00,397,68.25,5.86080586,400.0,68.751884,67.413527,trend_down,0.808,2026-06-19 08:30:00+00:00,68.751884,STOP,0.4818,-3.4232,10000.0,9996.5768,-0.0342
SOL/USDT,short,2026-06-19 10:30:00+00:00,409,68.13,5.86911891,399.8631,68.557425,67.417624,trend_down,0.805,2026-06-19 12:45:00+00:00,68.557425,STOP,0.4813,-2.9899,9996.5768,9993.5868,-0.0299
SOL/USDT,long,2026-06-20 05:15:00+00:00,484,71.47,5.5931646,399.7435,70.864821,72.478631,trend_up,0.944,2026-06-20 09:15:00+00:00,71.37,TIMEOUT,0.4794,-1.0387,9993.5868,9992.5482,-0.0104
SOL/USDT,long,2026-06-20 11:30:00+00:00,509,71.84,5.5637796,399.7019,71.440991,72.505015,trend_up,0.744,2026-06-20 12:45:00+00:00,71.440991,STOP,0.4783,-2.6983,9992.5482,9989.8499,-0.027
SOL/USDT,long,2026-06-20 22:45:00+00:00,554,73.56,5.43221852,399.594,72.992447,74.505921,trend_up,0.752,2026-06-21 01:15:00+00:00,72.992447,STOP,0.4777,-3.5607,9989.8499,9986.2891,-0.0356
SOL/USDT,long,2026-06-21 03:15:00+00:00,572,73.54,5.43175911,399.4516,73.118654,74.242244,trend_up,0.828,2026-06-21 05:15:00+00:00,73.118654,STOP,0.478,-2.7666,9986.2891,9983.5225,-0.0277
SOL/USDT,short,2026-06-23 13:15:00+00:00,804,68.81,5.80353001,399.3409,69.236738,68.09877,trend_down,0.95,2026-06-23 13:30:00+00:00,69.236738,STOP,0.4807,-2.9573,9983.5225,9980.5652,-0.0296
SOL/USDT,short,2026-06-23 15:45:00+00:00,814,68.92,5.79255091,399.2226,69.482073,67.983211,trend_down,0.735,2026-06-23 19:45:00+00:00,68.84,TIMEOUT,0.4788,-0.0154,9980.5652,9980.5498,-0.0002
SOL/USDT,short,2026-06-24 18:15:00+00:00,920,66.19,6.03145481,399.222,67.125583,64.630695,trend_down,0.822,2026-06-24 20:00:00+00:00,67.125583,STOP,0.4825,-6.1254,9980.5498,9974.4245,-0.0614
